entity,apportionment_435
Alabama,7
Alaska,1
Arizona,4
Arkansas,4
California,43
Colorado,5
Connecticut,6
Delaware,1
Florida,15
Georgia,10
Hawaii,2
Idaho,2
Illinois,24
Indiana,11
Iowa,6
Kansas,5
Kentucky,7
Louisiana,8
Maine,2
Maryland,8
Massachusetts,12
Michigan,19
Minnesota,8
Mississippi,5
Missouri,10
Montana,2
Nebraska,3
Nevada,1
New Hampshire,2
New Jersey,15
New Mexico,2
New York,39
North Carolina,11
North Dakota,1
Ohio,23
Oklahoma,6
Oregon,4
Pennsylvania,25
Rhode Island,2
South Carolina,6
South Dakota,2
Tennessee,8
Texas,24
Utah,2
Vermont,1
Virginia,10
Washington,7
West Virginia,4
Wisconsin,9
Wyoming,1
